waypoint1	waypoint2	distance_m	duration_s
Lost World Caverns, Lewisburg, WV	The Alamo, Alamo Plaza, San Antonio, TX	2277258	72949
Fort Snelling, Tower Avenue, Saint Paul, MN	Congress Hall, Congress Place, Cape May, NJ 08204	2033385	67931
Bryce Canyon National Park, Hwy 63, Bryce, UT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2375844	76793
Terrace Hill, Grand Avenue, Des Moines, IA	French Quarter, New Orleans, LA	1631859	53456
Pikes Peak, Colorado	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1787043	60823
French Quarter, New Orleans, LA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	3023850	97646
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Congress Hall, Congress Place, Cape May, NJ 08204	2857920	94549
Yellowstone National Park, WY 82190	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	3684032	124379
Yellowstone National Park, WY 82190	Craters of the Moon National Monument & Preserve, Arco, ID	413219	17558
White House, Pennsylvania Avenue Northwest, Washington, DC	Cape Canaveral, FL	1394370	44347
Gateway Arch, Washington Avenue, St Louis, MO	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3307669	105304
Toltec Mounds, Scott, AR	Mount Vernon, Fairfax County, Virginia	1628719	53239
The Breakers, Ochre Point Avenue, Newport, RI	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1317092	46463
San Andreas Fault, San Benito County, CA	Wright Brothers National Memorial Visitor Center, Manteo, NC	4699698	152165
Acadia National Park, Maine	Congress Hall, Congress Place, Cape May, NJ 08204	1028018	36805
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Statue of Liberty, Liberty Island, NYC, NY	192047	7992
The Breakers, Ochre Point Avenue, Newport, RI	Liberty Bell, 6th Street, Philadelphia, PA	441382	16913
Olympia Entertainment, Woodward Avenue, Detroit, MI	San Andreas Fault, San Benito County, CA	3989459	128011
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Lost World Caverns, Lewisburg, WV	1869024	61258
New Castle Historic District, Delaware	Liberty Bell, 6th Street, Philadelphia, PA	162565	6124
Terrace Hill, Grand Avenue, Des Moines, IA	Congress Hall, Congress Place, Cape May, NJ 08204	1886282	62438
Olympia Entertainment, Woodward Avenue, Detroit, MI	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2168837	70861
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mount Vernon, Fairfax County, Virginia	1776793	60245
Taliesin, County Road C, Spring Green, Wisconsin	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	770373	26783
Carlsbad Caverns National Park, Carlsbad, NM	Statue of Liberty, Liberty Island, NYC, NY	3284730	109431
Statue of Liberty, Liberty Island, NYC, NY	Graceland, Elvis Presley Boulevard, Memphis, TN	1767750	57922
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Carlsbad Caverns National Park, Carlsbad, NM	2281670	80434
Grand Canyon National Park, Arizona	The Alamo, Alamo Plaza, San Antonio, TX	1780052	58136
Olympia Entertainment, Woodward Avenue, Detroit, MI	Acadia National Park, Maine	1587595	54774
USS Alabama, Battleship Parkway, Mobile, AL	The Alamo, Alamo Plaza, San Antonio, TX	1069098	34227
Gateway Arch, Washington Avenue, St Louis, MO	Pikes Peak, Colorado	1388913	46682
The Breakers, Ochre Point Avenue, Newport, RI	The Alamo, Alamo Plaza, San Antonio, TX	3223524	106012
White House, Pennsylvania Avenue Northwest, Washington, DC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3578269	117576
French Quarter, New Orleans, LA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2681514	88102
New Castle Historic District, Delaware	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	484456	17783
Fort Snelling, Tower Avenue, Saint Paul, MN	Acadia National Park, Maine	2666567	90403
Gateway Arch, Washington Avenue, St Louis, MO	Mount Vernon, Fairfax County, Virginia	1335136	45637
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	San Andreas Fault, San Benito County, CA	3796750	122049
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Pikes Peak, Colorado	1138992	41103
San Andreas Fault, San Benito County, CA	Lost World Caverns, Lewisburg, WV	4233272	135720
Bryce Canyon National Park, Hwy 63, Bryce, UT	Liberty Bell, 6th Street, Philadelphia, PA	3687679	120711
Craters of the Moon National Monument & Preserve, Arco, ID	Carlsbad Caverns National Park, Carlsbad, NM	1875346	66349
Congress Hall, Congress Place, Cape May, NJ 08204	Carlsbad Caverns National Park, Carlsbad, NM	3232567	109133
Fort Sumter National Monument, Sullivan's Island, SC	Mount Vernon, Fairfax County, Virginia	833917	26776
The Breakers, Ochre Point Avenue, Newport, RI	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1631435	55604
Taliesin, County Road C, Spring Green, Wisconsin	Graceland, Elvis Presley Boulevard, Memphis, TN	1107487	36355
New Castle Historic District, Delaware	Carlsbad Caverns National Park, Carlsbad, NM	3085940	103609
Fort Snelling, Tower Avenue, Saint Paul, MN	French Quarter, New Orleans, LA	1916146	63651
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Ashfall Fossil Bed, Royal, NE	976305	34166
New Castle Historic District, Delaware	Terrace Hill, Grand Avenue, Des Moines, IA	1764330	59415
Gateway Arch, Washington Avenue, St Louis, MO	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	554366	18477
Toltec Mounds, Scott, AR	Cape Canaveral, FL	1567778	51973
White House, Pennsylvania Avenue Northwest, Washington, DC	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	935320	33587
The Breakers, Ochre Point Avenue, Newport, RI	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4964607	160582
USS Alabama, Battleship Parkway, Mobile, AL	Fort Sumter National Monument, Sullivan's Island, SC	1002498	32600
Toltec Mounds, Scott, AR	Pikes Peak, Colorado	1600474	53451
Gateway Arch, Washington Avenue, St Louis, MO	Congress Hall, Congress Place, Cape May, NJ 08204	1572607	53218
Grand Canyon National Park, Arizona	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1257737	41219
French Quarter, New Orleans, LA	Glacier National Park, West Glacier, MT	3565110	118744
Fort Sumter National Monument, Sullivan's Island, SC	Glacier National Park, West Glacier, MT	3921670	130159
Congress Hall, Congress Place, Cape May, NJ 08204	Statue of Liberty, Liberty Island, NYC, NY	254433	9341
Columbia River Gorge National Scenic Area, Oregon	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3726653	119916
French Quarter, New Orleans, LA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1196556	38658
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Vicksburg National Military Park, Clay Street, Vicksburg, MS	810507	26840
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1901493	61623
Maryland State House, 100 State Cir, Annapolis, MD 21401	Graceland, Elvis Presley Boulevard, Memphis, TN	1476772	48127
Mount Vernon, Fairfax County, Virginia	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4551979	146144
Gateway Arch, Washington Avenue, St Louis, MO	Hanford Site, Benton County, WA	3087390	99598
Terrace Hill, Grand Avenue, Des Moines, IA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2190251	74604
White House, Pennsylvania Avenue Northwest, Washington, DC	Craters of the Moon National Monument & Preserve, Arco, ID	3677215	120725
Liberty Bell, 6th Street, Philadelphia, PA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1233099	40721
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	New Castle Historic District, Delaware	2359410	78042
USS Alabama, Battleship Parkway, Mobile, AL	Shelburne Farms, Harbor Road, Shelburne, VT	2387574	79057
Cape Canaveral, FL	Pikes Peak, Colorado	3065349	99938
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Cape Canaveral, FL	2059813	67326
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Bryce Canyon National Park, Hwy 63, Bryce, UT	3573294	116525
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	French Quarter, New Orleans, LA	1416179	47952
Hanford Site, Benton County, WA	San Andreas Fault, San Benito County, CA	1398524	51354
Fort Snelling, Tower Avenue, Saint Paul, MN	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	956302	31461
USS Constitution, Boston, MA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1695951	56951
Bryce Canyon National Park, Hwy 63, Bryce, UT	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2484592	83812
Acadia National Park, Maine	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	370453	16197
Mount Vernon, Fairfax County, Virginia	Glacier National Park, West Glacier, MT	3611025	120891
Columbia River Gorge National Scenic Area, Oregon	Wright Brothers National Memorial Visitor Center, Manteo, NC	4743873	154088
Gateway Arch, Washington Avenue, St Louis, MO	Cape Canaveral, FL	1680706	53478
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3794884	121472
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Alamo, Alamo Plaza, San Antonio, TX	2558847	85021
